Colleges,Status,Link,Assigned
Columbia University,Done,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,Vikash
Georgia Institute of Technology-Main Campus,Done,https://collegedunia.com/usa/college/942-georgia-institute-of-technology-atlanta,Vikash
North Carolina State University at Raleigh,Done,https://collegedunia.com/usa/college/1889-north-carolina-state-university-raleigh,Vikash
Northeastern University,Done,https://collegedunia.com/usa/college/1020-northeastern-university-boston,Vikash
Stevens Institute of Technology,Done,https://collegedunia.com/usa/college/1419-stevens-institute-of-technology-hoboken,Vikash
Stony Brook University,Done,https://collegedunia.com/usa/college/2084-stony-brook-university-stony-brook,Vikash
The University of Texas at Arlington,Done,https://collegedunia.com/usa/college/2851-college-of-business-university-of-texas-at-arlington-arlington,Vikash
University of Arizona,Done,https://collegedunia.com/usa/college/2127-university-of-arizona-tucson,Vikash
University of Houston,Done,https://collegedunia.com/usa/college/1429-university-of-houston-houston,Vikash
University of Illinois at Chicago,Done,https://collegedunia.com/usa/college/1131-university-of-illinois-chicago,Vikash
Wright State University-Main Campus,Done,https://collegedunia.com/usa/college/1223-wright-state-university-dayton,Vikash
University of Wisconsin-Madison,Done,https://collegedunia.com/usa/college/1116-university-of-wisconsin---whitewater-whitewater,Vikash
Arizona State University,Done,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,Vikash
Florida International University,Done,https://collegedunia.com/usa/college/1621-florida-international-university-miami,Vikash
Boston University,Done,https://collegedunia.com/usa/college/1019-boston-university-boston,Vikash
Kent State University,Done,https://collegedunia.com/usa/college/1483-kent-state-university-kent,Vikash
Northwestern University,Done,https://collegedunia.com/usa/college/1287-northwestern-university-evanston,Vikash
Old Dominion University,Done,https://collegedunia.com/usa/college/1759-old-dominion-university-norfolk,Vikash
Rochester Institute of Technology,Done,https://collegedunia.com/usa/college/1921-rochester-institute-of-technology-rochester,Vikash
Rutgers University-Newark,Done,https://collegedunia.com/usa/college/1695-rutgers-university---new-jersey-new-brunswick,Vikash
Syracuse University,Done,https://collegedunia.com/usa/college/2091-syracuse-university-syracuse,Vikash
University at Buffalo,Done,https://collegedunia.com/usa/college/1078-university-at-buffalo-buffalo,Vikash
University of Cincinnati-Main Campus,Done,https://collegedunia.com/usa/college/1151-university-of-cincinnati-cincinnati,Vikash
University of North Carolina at Greensboro,Done,https://collegedunia.com/usa/college/1371-university-of-north-carolina-greensboro-greensboro,Vikash
University of North Texas,Done,https://collegedunia.com/usa/college/1238-university-of-north-texas-denton,Vikash
Cornell University,Done,https://collegedunia.com/usa/college/1452-cornell-university-ithaca,Vikash
Massachusetts Institute of Technology,Done,https://collegedunia.com/usa/college/1087-massachusetts-institute-of-technology-cambridge,Vikash
Duke University,Done,https://collegedunia.com/usa/college/1259-duke-university-durham,Vikash
Illinois Institute of Technology,Done,https://collegedunia.com/usa/college/1130-illinois-institute-of-technology-chicago,Vikash
Georgia State University,Done,https://collegedunia.com/usa/college/944-georgia-state-university-atlanta,Vikash
Harvard University,Done,https://collegedunia.com/usa/college/1090-harvard-university-cambridge,Vikash
George Mason University,Done,https://collegedunia.com/usa/college/1293-george-mason-university-fairfax,Vikash
University of Illinois at Urbana-Champaign,Done,https://collegedunia.com/usa/college/2141-university-of-illinois---urbana-champaign-urbana,Vikash
New Jersey Institute of Technology,Done,https://collegedunia.com/usa/college/1750-new-jersey-institute-of-technology-newark,Vikash
University of Georgia,Done,https://collegedunia.com/usa/college/937-university-of-georgia-athens,Vikash
Wake Forest University,Done,https://collegedunia.com/usa/college/2219-wake-forest-university-winston-salem,Vikash
University of Wisconsin-Milwaukee,Done,https://collegedunia.com/usa/college/1638-university-of-wisconsin-milwaukee,Vikash
Ohio State University-Main Campus,Done,https://collegedunia.com/usa/college/1187-ohio-state-university-columbus,Vikash
University of Utah,Done,https://collegedunia.com/usa/college/1966-university-of-utah-salt-lake-city,Vikash
University of South Florida-Main Campus,Done,https://collegedunia.com/usa/college/2105-university-of-south-florida-tampa,Vikash
